COD_munic,Desc_Munic,COD_micro,Micro,COD_macro,Desc_Macro,Munic_MTE,Porte,Macrorregião_Samarco
3200102,Afonso Cláudio,3,Sudoeste Serrana,1,Metropolitana,AFONSO CLAUDIO,PEQUENO II,
3200169,Água Doce do Norte,10,Noroeste,2,Norte,AGUA DOCE DO NORTE,PEQUENO I,
3200136,Águia Branca,10,Noroeste,2,Norte,AGUIA BRANCA,PEQUENO I,
3200201,Alegre,6,Caparaó,4,Sul,ALEGRE,PEQUENO II,
3200300,Alfredo Chaves,4,Litoral Sul,4,Sul,ALFREDO CHAVES,PEQUENO I,
3200359,Alto Rio Novo,8,Centro-Oeste,3,Central,ALTO RIO NOVO,PEQUENO I,
3200409,Anchieta,4,Litoral Sul,4,Sul,ANCHIETA,PEQUENO II,
3200508,Apiacá,5,Central Sul,4,Sul,APIACA,PEQUENO I,
3200607,Aracruz,7,Rio Doce,3,Central,ARACRUZ,MÉDIO,1
3200706,Atílio Vivácqua,5,Central Sul,4,Sul,ATILIO VIVACQUA,PEQUENO I,
3200805,Baixo Guandu,8,Centro-Oeste,3,Central,BAIXO GUANDU,PEQUENO II,1
3200904,Barra de São Francisco,10,Noroeste,2,Norte,BARRA DE SAO FRANCISCO,PEQUENO II,
3201001,Boa Esperança,9,Nordeste,2,Norte,BOA ESPERANCA,PEQUENO I,
3201100,Bom Jesus do Norte,6,Caparaó,4,Sul,BOM JESUS DO NORTE,PEQUENO I,
3201159,Brejetuba,3,Sudoeste Serrana,1,Metropolitana,BREJETUBA,PEQUENO I,
3201209,Cachoeiro de Itapemirim,5,Central Sul,4,Sul,CACHOEIRO DE ITAPEMIRIM,GRANDE,
3201308,Cariacica,1,Metropolitana,1,Metropolitana,CARIACICA,GRANDE,
3201407,Castelo,5,Central Sul,4,Sul,CASTELO,PEQUENO II,
3201506,Colatina,8,Centro-Oeste,3,Central,COLATINA,GRANDE,1
3201605,Conceição da Barra,9,Nordeste,2,Norte,CONCEICAO DA BARRA,PEQUENO II,1
3201704,Conceição do Castelo,3,Sudoeste Serrana,1,Metropolitana,CONCEICAO DO CASTELO,PEQUENO I,
3201803,Divino de São Lourenço,6,Caparaó,4,Sul,DIVINO DE SAO LOURENCO,PEQUENO I,
3201902,Domingos Martins,3,Sudoeste Serrana,1,Metropolitana,DOMINGOS MARTINS,PEQUENO II,
3202009,Dores do Rio Preto,6,Caparaó,4,Sul,DORES DO RIO PRETO,PEQUENO I,
3202108,Ecoporanga,10,Noroeste,2,Norte,ECOPORANGA,PEQUENO II,
3202207,Fundão,1,Metropolitana,1,Metropolitana,FUNDAO,PEQUENO I,1
3202256,Governador Lindenberg,8,Centro-Oeste,3,Central,GOVERNADOR LINDENBERG,PEQUENO I,
