"";"x"
"1";"d.cod_familiar_fam"
"2";"total_cadastros"
"3";"data_atualizacao"
"4";"cod_ibge"
"5";"d1_c1_i1"
"6";"d1_c1_i2"
"7";"d1_c1_i3"
"8";"d1_c1"
"9";"d1_c2_i1"
"10";"d1_c2_i2"
"11";"d1_c2_i3"
"12";"d1_c2"
"13";"d1_c3_i1"
"14";"d1_c3_i2"
"15";"d1_c3"
"16";"d1_c4_i1"
"17";"d1_c4_i2"
"18";"d1_c4_i3"
"19";"d1_c4"
"20";"d1_c5_i1"
"21";"d1_c5_i2"
"22";"d1_c5"
"23";"d1_c6_i1"
"24";"d1_c6_i2"
"25";"d1_c6"
"26";"d1_c7_i1"
"27";"d1_c7"
"28";"d1"
"29";"d2_c1_i1"
"30";"d2_c1_i2"
"31";"d2_c1_i3"
"32";"d2_c1_i4"
"33";"d2_c1_i5"
"34";"d2_c1"
"35";"d2_c2_i1"
"36";"d2_c2_i2"
"37";"d2_c2_i3"
"38";"d2_c2_i4"
"39";"d2_c2"
"40";"d2"
"41";"d3_c1_i1"
"42";"d3_c1_i2"
"43";"d3_c1"
"44";"d3_c2_i1"
"45";"d3_c2_i2"
"46";"d3_c2"
"47";"d3_c3_i1"
"48";"d3_c3_i2"
"49";"d3_c3"
"50";"d3"
"51";"d4_c1_i1"
"52";"d4_c1_i2"
"53";"d4_c1_i3"
"54";"d4_c1"
"55";"d4_c2_i1"
"56";"d4_c2_i2"
"57";"d4_c2_i3"
"58";"d4_c2"
"59";"d4_c3_i1"
"60";"d4_c3_i2"
"61";"d4_c3"
"62";"d4_c4_i1"
"63";"d4_c4"
"64";"d4"
"65";"d5_c1_i1"
"66";"d5_c1_i2"
"67";"d5_c1_i3"
"68";"d5_c1"
"69";"d5_c2_i1"
"70";"d5_c2_i2"
"71";"d5_c2_i3"
"72";"d5_c2"
"73";"d5_c3_i1"
"74";"d5_c3_i2"
"75";"d5_c3"
"76";"d5"
"77";"d6_c1_i1"
"78";"d6_c1_i2"
"79";"d6_c1_i3"
"80";"d6_c1"
"81";"d6_c2_i1"
"82";"d6_c2"
"83";"d6_c3_i1"
"84";"d6_c3"
"85";"d6_c4_i1"
"86";"d6_c4_i2"
"87";"d6_c4"
"88";"d6_c5_i1"
"89";"d6_c5_i2"
"90";"d6_c5"
"91";"d6_c6_i1"
"92";"d6_c6_i2"
"93";"d6_c6"
"94";"d6_c7_i1"
"95";"d6_c7_i2"
"96";"d6_c7"
"97";"d6_c8_i1"
"98";"d6_c8_i2"
"99";"d6_c8"
"100";"d6"
"101";"idf"
